,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,phot_bp_mean_mag,phot_rp_mean_mag,l,b,phot_g_mean_mag,radial_velocity,radial_velocity_error,probability,stability,label
57,5969910228298877440,252.44376264102988,0.13073593,-40.07499968216779,0.07614951,5.357116749290066,0.12436717,-11.296898283753173,0.17495997,-21.03077597762719,0.12949584,1.0485215,19.903606,16.293932,344.28968032146696,2.9361487499389716,17.665504,,,0.8231292517006803,147,1
58,5967590877215961344,250.79680066320697,0.024261277,-43.6529775744807,0.018472297,5.625284205624677,0.03011292,-11.787175474707647,0.033235166,-21.704533494262304,0.028802572,0.92197424,8.076967,7.938098,340.76742274974885,1.5512475677845956,8.041424,0.529598,1.5911579,0.7891156462585034,147,1
59,5969919844696474496,252.67999476826188,0.1312232,-39.85221906386406,0.070656046,5.875924212377454,0.14853367,-11.321513400044832,0.16481407,-22.17624789979359,0.11115571,1.0106075,19.91197,16.094387,344.57712105200886,2.9391269631753043,17.528511,,,0.7006802721088435,147,1
60,5969922387314148352,252.55116125319364,0.016716242,-39.838828053590326,0.010211964,5.723265632638336,0.018871682,-11.494582828302619,0.021619767,-21.57751827597425,0.016610397,1.0083923,14.494917,12.546951,344.52423417018605,3.023826797626204,13.526636,-1.5174961,5.9617367,0.9523809523809523,147,1
61,5994002830154542464,245.35308278417475,0.039140888,-39.69645803754478,0.02715689,5.805765009560536,0.048412133,-13.975894077835246,0.056090783,-20.80248717412636,0.035483602,1.0782641,17.591818,14.4462805,340.90302448653125,7.220562837008612,15.732512,,,0.14285714285714285,147,1
62,5969929091830221952,252.37855049737564,0.100867175,-39.833834837785794,0.06122322,5.594968837933249,0.11036701,-11.270124674131262,0.14396757,-21.179052436531705,0.108274214,1.0483378,19.562508,15.934278,344.443191966839,3.1289167332323884,17.294704,,,0.9455782312925171,147,1
63,5992268728530960128,245.6336363309174,0.018946396,-43.50656667204661,0.012982061,5.46502179825812,0.02276706,-13.040977346203839,0.023609534,-20.324147426830244,0.01652891,1.0493771,15.833856,13.364605,338.3278252693313,4.392401528392763,14.503376,3.2029011,6.9084015,0.3401360544217687,147,1
64,5992269278287175296,245.53653555675504,0.030789774,-43.50876917104513,0.02084452,5.4278542417844085,0.03820109,-12.811993519627622,0.039646804,-19.99418527382793,0.027479986,1.0387137,17.253107,14.386715,338.2765369488827,4.4408752827518265,15.619163,,,0.3129251700680272,147,1
66,5992286114559921920,246.01549169750524,0.02937316,-43.32404411875709,0.019788103,5.628899644479685,0.038203187,-11.940486098381436,0.035542388,-21.90904429362655,0.024826791,2.1099553,11.20119,10.127972,338.6534396553699,4.322837672247676,10.752412,-0.8534065,3.775516,0.48299319727891155,147,1
67,5964956584784712448,253.4712743955333,0.04758816,-42.73885250458337,0.031838503,5.315172379806677,0.051733237,-10.568505450487718,0.06888258,-20.4034161418004,0.051815055,0.9852689,18.156458,14.9735155,342.7224034524362,0.6479077953445102,16.269905,,,0.2653061224489796,147,1
69,5969961385610165248,252.9254867510154,0.012006099,-40.00469299792248,0.007783827,5.766173933285388,0.014627237,-11.082810605015766,0.016830781,-21.903743862733638,0.013376838,0.88346416,12.680567,11.300656,344.57936073921854,2.696881163604933,12.058284,0.17520262,0.7937968,0.7755102040816326,147,1
70,6018607838792258816,247.57440897502113,0.080429316,-37.662201838445185,0.056617215,5.847292364653624,0.09749417,-13.049253306295752,0.113224745,-22.023713583494,0.08200634,2.5602593,17.638844,14.284861,343.59321415264293,7.3751058581712154,15.64568,-157.63654,11.3497305,0.6258503401360545,147,1
71,6018614019228428672,247.66993764407974,0.1973482,-37.612462923472805,0.13265109,5.645667978728586,0.22867186,-12.544343823006436,0.26649886,-21.248979529343657,0.18971667,1.0500723,21.26367,17.216566,343.68186345096336,7.35349446289095,18.621195,,,0.7619047619047619,147,1
